Netbeheerder;Klanttype;Contracttype;Tarieftype;Tariefdetail;Tariefnotering;Prijs
FHV;ELEK_MS2;Afname;Tarieven voor netgebruik;Overschrijding toegangsvermogen;EUR/kVA/jaar;55.6665144
FHV;ELEK_MS2;Afname;Tarieven voor de aanvullende afname van reactieve energie;Tarief voor overschrijding forfaitair toegelaten hoeveelheid;EUR/kVArh;0.0134149
FHV;ELEK_MS2;Afname;Tarieven voor het databeheer;26-36 kV, 1-26 kV, distributiecabine;EUR/jaar;57.65
FHV;ELEK_MS2;Afname;Tarieven voor de openbaredienstverplichtingen;kWh-tarief normaal;EUR/kWh;0.0038645
FHV;ELEK_MS2;Afname;Tarieven voor de toeslagen;Tarieven voor de toeslagen;EUR/kWh;0.0002753
FHV;ELEK_MS2;Afname;Maximumtarief;Maximumtarief;EUR/kWh;0.1508082
FHV;ELEK_MS2;Injectie;Tarief voor het netgebruik;Tarief voor het netgebruik;EUR/kWh;0.0017510
FHV;ELEK_MS2;Injectie;Tarief databeheer;26-36 kV, 1-26 kV, distributiecabine;EUR/jaar;57.65
FHV;ELEK_LS_DC;Afname;Tarieven voor netgebruik;Toegangsvermogen;EUR/kVA/maand;3.8969358
FHV;ELEK_LS_DC;Afname;Tarieven voor netgebruik;Toegangsvermogen;EUR/kVA/jaar;46.7632296
FHV;ELEK_LS_DC;Afname;Tarieven voor netgebruik;Maandpiek;EUR/kVA/maand;6.3262312
FHV;ELEK_LS_DC;Afname;Tarieven voor netgebruik;Maandpiek;EUR/kVA/jaar;75.9147744
FHV;ELEK_LS_DC;Afname;Tarieven voor netgebruik;Overschrijding toegangsvermogen;EUR/kVA/maand;5.8454038
FHV;ELEK_LS_DC;Afname;Tarieven voor netgebruik;Overschrijding toegangsvermogen;EUR/kVA/jaar;70.1448456
FHV;ELEK_LS_DC;Afname;Tarieven voor de aanvullende afname van reactieve energie;Tarief voor overschrijding forfaitair toegelaten hoeveelheid;EUR/kVArh;0.0134149
FHV;ELEK_LS_DC;Afname;Tarieven voor het databeheer;26-36 kV, 1-26 kV, distributiecabine;EUR/jaar;57.65
FHV;ELEK_LS_DC;Afname;Tarieven voor de openbaredienstverplichtingen;kWh-tarief normaal;EUR/kWh;0.0047181
FHV;ELEK_LS_DC;Afname;Tarieven voor de openbaredienstverplichtingen;kWh-tarief exclusief nacht;EUR/kWh;0.0037745
FHV;ELEK_LS_DC;Afname;Tarieven voor de toeslagen;Tarieven voor de toeslagen;EUR/kWh;0.0003361
FHV;ELEK_LS_DC;Afname;Maximumtarief;Maximumtarief;EUR/kWh;0.1557427
FHV;ELEK_LS_DC;Injectie;Tarief voor het netgebruik;Tarief voor het netgebruik;EUR/kWh;0.0017510
FHV;ELEK_LS_DC;Injectie;Tarief databeheer;26-36 kV, 1-26 kV, distributiecabine;EUR/jaar;57.65
FHV;ELEK_LS_DIGI;Afname;Tarieven voor netgebruik;Gemiddelde maandpiek;EUR/kW/jaar;56.0428955
FHV;ELEK_LS_DIGI;Afname;Tarieven voor netgebruik;Gemiddelde maandpiek;EUR/kW/maand;4.6702413
FHV;ELEK_LS_DIGI;Afname;Tarieven voor netgebruik;kWh-tarief;EUR/kW;0.0270335
