Netbeheerder;Klanttype;Contracttype;Tariefonderdeel;Tariefnotering;Prijs
FL;MD;Afname;Databeheer AMR;EUR/jaar;0
FL;MD;Afname;Databeheer MMR;EUR/jaar;0
FL;MD;Afname;Databeheer Jaaropname;EUR/jaar;0
FL;MD;Afname;Openbaredienstverplichting;EUR/kWh;0
FL;MD;Afname;Pensioenen;EUR/kWh;0
FL;MD;Afname;Heffingen;EUR/kWh;0
FMV;T1;Afname;Basistarief Vaste Term;EUR/jaar;15.41
FMV;T1;Afname;Basistarief Proportionele Term;EUR/kWh;0.0213928
FMV;T1;Afname;Basistarief Capaciteit;EUR/maxcap/jaar;0
FMV;T1;Afname;Databeheer AMR;EUR/jaar;0
FMV;T1;Afname;Databeheer MMR;EUR/jaar;57.65
FMV;T1;Afname;Databeheer Jaaropname;EUR/jaar;17.85
FMV;T1;Afname;Openbaredienstverplichting;EUR/kWh;0.0003017
FMV;T1;Afname;Pensioenen;EUR/kWh;0.0000939
FMV;T1;Afname;Heffingen;EUR/kWh;0.0000716
FMV;T1;Injectie;Databeheer AMR;EUR/jaar;57.65
FMV;T1;Injectie;Systeembeheer;EUR/kWh;0.000963
FMV;T2;Afname;Basistarief Vaste Term;EUR/jaar;81.8
FMV;T2;Afname;Basistarief Proportionele Term;EUR/kWh;0.0081166
FMV;T2;Afname;Basistarief Capaciteit;EUR/maxcap/jaar;0
FMV;T2;Afname;Databeheer AMR;EUR/jaar;0
FMV;T2;Afname;Databeheer MMR;EUR/jaar;57.65
FMV;T2;Afname;Databeheer Jaaropname;EUR/jaar;17.85
FMV;T2;Afname;Openbaredienstverplichting;EUR/kWh;0.0003017
FMV;T2;Afname;Pensioenen;EUR/kWh;0.0000939
FMV;T2;Afname;Heffingen;EUR/kWh;0.0000716
FMV;T3;Afname;Basistarief Vaste Term;EUR/jaar;553.01
FMV;T3;Afname;Basistarief Proportionele Term;EUR/kWh;0.0049752
FMV;T3;Afname;Basistarief Capaciteit;EUR/maxcap/jaar;0
FMV;T3;Afname;Databeheer AMR;EUR/jaar;0
FMV;T3;Afname;Databeheer MMR;EUR/jaar;57.65
FMV;T3;Afname;Databeheer Jaaropname;EUR/jaar;17.85
FMV;T3;Afname;Openbaredienstverplichting;EUR/kWh;0.0003017
FMV;T3;Afname;Pensioenen;EUR/kWh;0.0000939
FMV;T3;Afname;Heffingen;EUR/kWh;0.0000716
FMV;T4;Afname;Basistarief Vaste Term;EUR/jaar;5134.05
FMV;T4;Afname;Basistarief Proportionele Term;EUR/kWh;0.0003942
FMV;T4;Afname;Basistarief Capaciteit;EUR/maxcap/jaar;0
